#omega_5	E_QP(omega)_5#	omega_6	E_QP(omega)_6
-0.186111	-0.384935	-0.137455	-0.066927
-0.185111	-0.385198	-0.136455	-0.067091
-0.184111	-0.385461	-0.135455	-0.067258
-0.183111	-0.385723	-0.134455	-0.067427
-0.182111	-0.385985	-0.133455	-0.067598
-0.181111	-0.386246	-0.132455	-0.067770
-0.180111	-0.386508	-0.131455	-0.067946
-0.179111	-0.386768	-0.130455	-0.068123
-0.178111	-0.387029	-0.129455	-0.068304
-0.177111	-0.387290	-0.128455	-0.068486
-0.176111	-0.387550	-0.127455	-0.068672
-0.175111	-0.387810	-0.126455	-0.068861
-0.174111	-0.388070	-0.125455	-0.069053
-0.173111	-0.388331	-0.124455	-0.069248
-0.172111	-0.388591	-0.123455	-0.069446
-0.171111	-0.388851	-0.122455	-0.069648
-0.170111	-0.389112	-0.121455	-0.069855
-0.169111	-0.389372	-0.120455	-0.070065
-0.168111	-0.389633	-0.119455	-0.070280
-0.167111	-0.389894	-0.118455	-0.070499
-0.166111	-0.390156	-0.117455	-0.070724
-0.165111	-0.390418	-0.116455	-0.070953
-0.164111	-0.390681	-0.115455	-0.071189
-0.163111	-0.390944	-0.114455	-0.071430
-0.162111	-0.391208	-0.113455	-0.071678
-0.161111	-0.391473	-0.112455	-0.071933
-0.160111	-0.391738	-0.111455	-0.072196
-0.159111	-0.392005	-0.110455	-0.072466
-0.158111	-0.392273	-0.109455	-0.072746
-0.157111	-0.392542	-0.108455	-0.073035
-0.156111	-0.392812	-0.107455	-0.073334
-0.155111	-0.393084	-0.106455	-0.073644
-0.154111	-0.393358	-0.105455	-0.073966
-0.153111	-0.393634	-0.104455	-0.074302
-0.152111	-0.393911	-0.103455	-0.074652
-0.151111	-0.394192	-0.102455	-0.075018
-0.150111	-0.394474	-0.101455	-0.075401
-0.149111	-0.394760	-0.100455	-0.075804
-0.148111	-0.395049	-0.099455	-0.076229
-0.147111	-0.395341	-0.098455	-0.076678
-0.146111	-0.395637	-0.097455	-0.077154
-0.145111	-0.395938	-0.096455	-0.077660
-0.144111	-0.396243	-0.095455	-0.078201
-0.143111	-0.396554	-0.094455	-0.078780
-0.142111	-0.396870	-0.093455	-0.079405
-0.141111	-0.397194	-0.092455	-0.080081
-0.140111	-0.397525	-0.091455	-0.080816
-0.139111	-0.397865	-0.090455	-0.081621
-0.138111	-0.398215	-0.089455	-0.082508
-0.137111	-0.398575	-0.088455	-0.083493
-0.136111	-0.398949	-0.087455	-0.084596
-0.135111	-0.399337	-0.086455	-0.085841
-0.134111	-0.399741	-0.085455	-0.087263
-0.133111	-0.400166	-0.084455	-0.088906
-0.132111	-0.400613	-0.083455	-0.090832
-0.131111	-0.401087	-0.082455	-0.093127
-0.130111	-0.401594	-0.081455	-0.095914
-0.129111	-0.402139	-0.080455	-0.099380
-0.128111	-0.402732	-0.079455	-0.103815
-0.127111	-0.403383	-0.078455	-0.109691
-0.126111	-0.404106	-0.077455	-0.117828
-0.125111	-0.404922	-0.076455	-0.129710
-0.124111	-0.405859	-0.075455	-0.147959
-0.123111	-0.406955	-0.074455	-0.173991
-0.122111	-0.408270	-0.073455	-0.155219
-0.121111	-0.409893	-0.072455	+0.020726
-0.120111	-0.411972	-0.071455	+0.029280
-0.119111	-0.414754	-0.070455	+0.003558
-0.118111	-0.418686	-0.069455	-0.014084
-0.117111	-0.424575	-0.068455	-0.025606
-0.116111	-0.433377	-0.067455	-0.033535
-0.115111	-0.436729	-0.066455	-0.039286
-0.114111	-0.380023	-0.065455	-0.043643
-0.113111	-0.362545	-0.064455	-0.047061
-0.112111	-0.371866	-0.063455	-0.049819
-0.111111	-0.378988	-0.062455	-0.052097
-0.110111	-0.383660	-0.061455	-0.054016
-0.109111	-0.386879	-0.060455	-0.055660
-0.108111	-0.389227	-0.059455	-0.057088
-0.107111	-0.391027	-0.058455	-0.058344
-0.106111	-0.392461	-0.057455	-0.059461
-0.105111	-0.393640	-0.056455	-0.060464
-0.104111	-0.394636	-0.055455	-0.061373
-0.103111	-0.395495	-0.054455	-0.062201
-0.102111	-0.396250	-0.053455	-0.062963
-0.101111	-0.396923	-0.052455	-0.063668
-0.100111	-0.397532	-0.051455	-0.064324
-0.099111	-0.398088	-0.050455	-0.064937
-0.098111	-0.398602	-0.049455	-0.065513
-0.097111	-0.399080	-0.048455	-0.066058
-0.096111	-0.399528	-0.047455	-0.066574
-0.095111	-0.399951	-0.046455	-0.067065
-0.094111	-0.400352	-0.045455	-0.067534
-0.093111	-0.400735	-0.044455	-0.067984
-0.092111	-0.401101	-0.043455	-0.068416
-0.091111	-0.401454	-0.042455	-0.068833
-0.090111	-0.401794	-0.041455	-0.069236
-0.089111	-0.402123	-0.040455	-0.069627
-0.088111	-0.402442	-0.039455	-0.070007
-0.087111	-0.402753	-0.038455	-0.070377
-0.086111	-0.403056	-0.037455	-0.070738
-0.085111	-0.403352	-0.036455	-0.071091
-0.084111	-0.403642	-0.035455	-0.071437
-0.083111	-0.403926	-0.034455	-0.071777
-0.082111	-0.404205	-0.033455	-0.072111
-0.081111	-0.404479	-0.032455	-0.072440
-0.080111	-0.404749	-0.031455	-0.072765
-0.079111	-0.405015	-0.030455	-0.073086
-0.078111	-0.405277	-0.029455	-0.073403
-0.077111	-0.405536	-0.028455	-0.073718
-0.076111	-0.405792	-0.027455	-0.074030
-0.075111	-0.406045	-0.026455	-0.074340
-0.074111	-0.406295	-0.025455	-0.074648
