#omega_28	E_QP(omega)_28#	omega_29	E_QP(omega)_29
-0.103256	-0.353392	-0.038033	-0.045928
-0.102256	-0.353719	-0.037033	-0.051147
-0.101256	-0.354044	-0.036033	-0.050199
-0.100256	-0.354369	-0.035033	-0.015916
-0.099256	-0.354693	-0.034033	-0.011718
-0.098256	-0.355016	-0.033033	-0.017041
-0.097256	-0.355339	-0.032033	-0.020860
-0.096256	-0.355661	-0.031033	-0.023412
-0.095256	-0.355982	-0.030033	-0.025219
-0.094256	-0.356302	-0.029033	-0.026579
-0.093256	-0.356622	-0.028033	-0.027653
-0.092256	-0.356942	-0.027033	-0.028537
-0.091256	-0.357261	-0.026033	-0.029288
-0.090256	-0.357579	-0.025033	-0.029943
-0.089256	-0.357897	-0.024033	-0.030527
-0.088256	-0.358215	-0.023033	-0.031057
-0.087256	-0.358532	-0.022033	-0.031544
-0.086256	-0.358849	-0.021033	-0.031999
-0.085256	-0.359165	-0.020033	-0.032428
-0.084256	-0.359482	-0.019033	-0.032835
-0.083256	-0.359798	-0.018033	-0.033225
-0.082256	-0.360114	-0.017033	-0.033601
-0.081256	-0.360430	-0.016033	-0.033965
-0.080256	-0.360746	-0.015033	-0.034319
-0.079256	-0.361062	-0.014033	-0.034665
-0.078256	-0.361378	-0.013033	-0.035005
-0.077256	-0.361695	-0.012033	-0.035340
-0.076256	-0.362012	-0.011033	-0.035670
-0.075256	-0.362329	-0.010033	-0.035996
-0.074256	-0.362647	-0.009033	-0.036320
-0.073256	-0.362965	-0.008033	-0.036641
-0.072256	-0.363284	-0.007033	-0.036960
-0.071256	-0.363605	-0.006033	-0.037279
-0.070256	-0.363926	-0.005033	-0.037596
-0.069256	-0.364248	-0.004033	-0.037913
-0.068256	-0.364572	-0.003033	-0.038230
-0.067256	-0.364898	-0.002033	-0.038547
-0.066256	-0.365226	-0.001033	-0.038865
-0.065256	-0.365555	-0.000033	-0.039184
-0.064256	-0.365888	+0.000967	-0.039504
-0.063256	-0.366223	+0.001967	-0.039825
-0.062256	-0.366561	+0.002967	-0.040147
-0.061256	-0.366904	+0.003967	-0.040472
-0.060256	-0.367250	+0.004967	-0.040798
-0.059256	-0.367602	+0.005967	-0.041127
-0.058256	-0.367959	+0.006967	-0.041458
-0.057256	-0.368323	+0.007967	-0.041792
-0.056256	-0.368694	+0.008967	-0.042128
-0.055256	-0.369075	+0.009967	-0.042468
-0.054256	-0.369466	+0.010967	-0.042811
-0.053256	-0.369869	+0.011967	-0.043157
-0.052256	-0.370286	+0.012967	-0.043507
-0.051256	-0.370722	+0.013967	-0.043860
-0.050256	-0.371178	+0.014967	-0.044218
-0.049256	-0.371660	+0.015967	-0.044580
-0.048256	-0.372174	+0.016967	-0.044946
-0.047256	-0.372727	+0.017967	-0.045317
-0.046256	-0.373332	+0.018967	-0.045693
-0.045256	-0.374002	+0.019967	-0.046075
-0.044256	-0.374761	+0.020967	-0.046461
-0.043256	-0.375639	+0.021967	-0.046854
-0.042256	-0.376686	+0.022967	-0.047253
-0.041256	-0.377982	+0.023967	-0.047658
-0.040256	-0.379661	+0.024967	-0.048070
-0.039256	-0.381965	+0.025967	-0.048489
-0.038256	-0.385333	+0.026967	-0.048916
-0.037256	-0.390326	+0.027967	-0.049351
-0.036256	-0.393184	+0.028967	-0.049794
-0.035256	-0.363286	+0.029967	-0.050247
-0.034256	-0.351075	+0.030967	-0.050709
-0.033256	-0.356384	+0.031967	-0.051181
-0.032256	-0.360638	+0.032967	-0.051664
-0.031256	-0.363474	+0.033967	-0.052159
-0.030256	-0.365466	+0.034967	-0.052667
-0.029256	-0.366952	+0.035967	-0.053188
-0.028256	-0.368122	+0.036967	-0.053723
-0.027256	-0.369080	+0.037967	-0.054275
-0.026256	-0.369892	+0.038967	-0.054843
-0.025256	-0.370598	+0.039967	-0.055430
