#omega_30	E_QP(omega)_30#	omega_31	E_QP(omega)_31#	omega_32	E_QP(omega)_32#	omega_33	E_QP(omega)_33#	omega_34	E_QP(omega)_34#	omega_35	E_QP(omega)_35#	omega_36	E_QP(omega)_36#	omega_37	E_QP(omega)_37#	omega_38	E_QP(omega)_38#	omega_39	E_QP(omega)_39#	omega_40	E_QP(omega)_40
-1.074978	-0.329054	-1.032588	-0.376043	-0.991136	-0.298313	-0.962987	-0.243009	-0.772688	+0.037087	-0.744028	+0.340061	-0.711949	+0.149405	-0.673327	+0.149410	-0.660258	+0.161972	-0.657832	+0.160197	-0.634036	+0.071068
-1.064978	-0.363603	-1.022588	-0.298004	-0.981136	-0.279596	-0.952987	-0.248723	-0.762688	+0.064753	-0.734028	+0.149696	-0.701949	+0.135769	-0.663327	+0.155421	-0.650258	+0.161563	-0.647832	+0.158796	-0.624036	+0.442061
-1.054978	-0.274902	-1.012588	-0.230397	-0.971136	-0.299636	-0.942987	-0.244191	-0.752688	-0.028175	-0.724028	+0.099873	-0.691949	+0.100354	-0.653327	+0.154075	-0.640258	+0.161125	-0.637832	+0.161242	-0.614036	+0.324412
-1.044978	-0.388141	-1.002588	-0.435615	-0.961136	-0.344124	-0.932987	-0.285753	-0.742688	+0.574094	-0.714028	+0.047738	-0.681949	+0.110159	-0.643327	+0.151729	-0.630258	+0.160046	-0.627832	+0.159762	-0.604036	+0.303770
-1.034978	-0.290922	-0.992588	-0.243369	-0.951136	-0.209954	-0.922987	-0.188084	-0.732688	+0.166223	-0.704028	-0.018137	-0.671949	-0.010141	-0.633327	+0.151016	-0.620258	+0.160167	-0.617832	+0.158891	-0.594036	+0.276908
-1.024978	-0.304487	-0.982588	-0.254762	-0.941136	-0.297786	-0.912987	-0.213250	-0.722688	+0.117521	-0.694028	+0.242422	-0.661949	+0.192077	-0.623327	+0.150169	-0.610258	+0.160055	-0.607832	+0.158248	-0.584036	+0.279796
-1.014978	-0.212295	-0.972588	-0.172434	-0.931136	-0.103149	-0.902987	-0.125602	-0.712688	+0.114894	-0.684028	+0.165084	-0.651949	+0.310592	-0.613327	+0.148904	-0.600258	+0.158842	-0.597832	+0.157653	-0.574036	+0.252704
-1.004978	-0.248270	-0.962588	-0.235855	-0.921136	-0.188436	-0.892987	-0.176936	-0.702688	+0.103376	-0.674028	+0.125601	-0.641949	+0.218011	-0.603327	+0.149426	-0.590258	+0.159499	-0.587832	+0.157237	-0.564036	+0.291677
-0.994978	-0.614006	-0.952588	-0.580691	-0.911136	-0.562001	-0.882987	-0.545365	-0.692688	+0.124095	-0.664028	+0.147522	-0.631949	+0.194204	-0.593327	+0.148567	-0.580258	+0.158463	-0.577832	+0.156749	-0.554036	+0.275906
-0.984978	-0.250970	-0.942588	-0.138664	-0.901136	-0.127224	-0.872987	-0.160474	-0.682688	+0.097940	-0.654028	+0.123517	-0.621949	+0.182774	-0.583327	+0.147588	-0.570258	+0.157731	-0.567832	+0.156215	-0.544036	+0.263456
-0.974978	-0.360974	-0.932588	-0.276916	-0.891136	-0.219051	-0.862987	-0.164127	-0.672688	+0.076798	-0.644028	+0.107051	-0.611949	+0.165789	-0.573327	+0.147586	-0.560258	+0.157560	-0.557832	+0.155889	-0.534036	+0.257764
-0.964978	-0.305723	-0.922588	-0.298750	-0.881136	-0.282546	-0.852987	-0.237478	-0.662688	+0.070713	-0.634028	+0.068963	-0.601949	+0.151059	-0.563327	+0.146997	-0.550258	+0.157030	-0.547832	+0.155273	-0.524036	+0.255052
-0.954978	-0.288696	-0.912588	-0.321569	-0.871136	-0.214691	-0.842987	-0.179278	-0.652688	+0.067868	-0.624028	+0.174555	-0.591949	+0.144171	-0.553327	+0.146451	-0.540258	+0.156307	-0.537832	+0.155822	-0.514036	+0.251785
-0.944978	-0.281685	-0.902588	-0.197734	-0.861136	-0.236385	-0.832987	-0.252833	-0.642688	+0.054365	-0.614028	+0.109677	-0.581949	+0.189982	-0.543327	+0.145930	-0.530258	+0.156426	-0.527832	+0.154920	-0.504036	+0.248841
-0.934978	-0.327305	-0.892588	-0.279610	-0.851136	-0.278855	-0.822987	-0.269010	-0.632688	+0.009694	-0.604028	+0.122436	-0.571949	+0.128716	-0.533327	+0.145372	-0.520258	+0.155909	-0.517832	+0.154451	-0.494036	+0.246302
-0.924978	-0.341811	-0.882588	-0.318390	-0.841136	-0.370939	-0.812987	-0.304296	-0.622688	-0.028834	-0.594028	+0.107807	-0.561949	+0.123156	-0.523327	+0.145788	-0.510258	+0.155473	-0.507832	+0.154031	-0.484036	+0.244015
-0.914978	-0.350006	-0.872588	-0.286143	-0.831136	-0.313527	-0.802987	-0.149141	-0.612688	+0.417979	-0.584028	+0.089011	-0.551949	+0.050481	-0.513327	+0.144744	-0.500258	+0.155058	-0.497832	+0.153629	-0.474036	+0.241913
-0.904978	-0.329088	-0.862588	-0.364147	-0.821136	-0.358600	-0.792987	-0.193937	-0.602688	+0.015674	-0.574028	+0.064089	-0.541949	+0.389751	-0.503327	+0.144236	-0.490258	+0.154653	-0.487832	+0.153238	-0.464036	+0.239956
-0.894978	-0.261439	-0.852588	-0.168741	-0.811136	-0.778243	-0.782987	-0.122741	-0.592688	+0.352065	-0.564028	+0.006074	-0.531949	+0.182229	-0.493327	+0.143774	-0.480258	+0.154253	-0.477832	+0.152852	-0.454036	+0.238114
-0.884978	-0.367298	-0.842588	-0.345090	-0.801136	-0.155131	-0.772987	-0.229996	-0.582688	+0.150606	-0.554028	+0.382066	-0.521949	+0.306904	-0.483327	+0.143328	-0.470258	+0.153858	-0.467832	+0.152471	-0.444036	+0.236368
-0.874978	-0.386673	-0.832588	-0.288075	-0.791136	-0.166726	-0.762987	-0.228811	-0.572688	+0.101662	-0.544028	+0.172027	-0.511949	+0.193950	-0.473327	+0.142891	-0.460258	+0.153467	-0.457832	+0.152093	-0.434036	+0.234701
-0.864978	-0.422690	-0.822588	-0.291754	-0.781136	-0.145633	-0.752987	-0.240762	-0.562688	+0.058070	-0.534028	+0.098947	-0.501949	+0.176033	-0.463327	+0.142459	-0.450258	+0.153078	-0.447832	+0.151719	-0.424036	+0.233102
-0.854978	-0.082151	-0.812588	-0.337499	-0.771136	-0.197402	-0.742987	-0.253948	-0.552688	-0.052719	-0.524028	-0.026760	-0.491949	+0.165107	-0.453327	+0.142031	-0.440258	+0.152690	-0.437832	+0.151346	-0.414036	+0.231560
-0.844978	-0.328525	-0.802588	-0.388699	-0.761136	-0.378398	-0.732987	-0.317583	-0.542688	+0.383438	-0.514028	+0.377899	-0.481949	+0.162944	-0.443327	+0.141607	-0.430258	+0.152304	-0.427832	+0.150975	-0.404036	+0.230068
-0.834978	-0.410909	-0.792588	-0.375488	-0.751136	-0.199443	-0.722987	-0.072072	-0.532688	+0.169987	-0.504028	+0.203746	-0.471949	+0.157819	-0.433327	+0.141185	-0.420258	+0.151920	-0.417832	+0.150605	-0.394036	+0.228618
-0.824978	-0.110620	-0.782588	-0.485380	-0.741136	-0.242602	-0.712987	-0.538676	-0.522688	+0.158954	-0.494028	+0.167598	-0.461949	+0.154016	-0.423327	+0.140765	-0.410258	+0.151535	-0.407832	+0.150236	-0.384036	+0.227205
-0.814978	-0.249550	-0.772588	-0.056581	-0.731136	-0.200471	-0.702987	-0.101919	-0.512688	+0.127185	-0.484028	+0.147781	-0.451949	+0.150861	-0.413327	+0.140347	-0.400258	+0.151151	-0.397832	+0.149867	-0.374036	+0.225825
-0.804978	-0.351385	-0.762588	-0.355306	-0.721136	-0.225538	-0.692987	-0.228593	-0.502688	+0.112395	-0.474028	+0.141956	-0.441949	+0.148125	-0.403327	+0.139929	-0.390258	+0.150768	-0.387832	+0.149499	-0.364036	+0.224473
-0.794978	-0.294393	-0.752588	-0.431910	-0.711136	-0.188806	-0.682987	-0.197338	-0.492688	+0.100428	-0.464028	+0.132722	-0.431949	+0.145689	-0.393327	+0.139513	-0.380258	+0.150383	-0.377832	+0.149130	-0.354036	+0.223145
-0.784978	-0.365707	-0.742588	-0.114657	-0.701136	-0.225930	-0.672987	-0.257044	-0.482688	+0.094986	-0.454028	+0.130836	-0.421949	+0.143476	-0.383327	+0.139096	-0.370258	+0.149999	-0.367832	+0.148761	-0.344036	+0.221838
-0.774978	-0.365603	-0.732588	-0.271218	-0.691136	-0.263573	-0.662987	-0.292635	-0.472688	+0.080180	-0.444028	+0.124524	-0.411949	+0.141436	-0.373327	+0.138680	-0.360258	+0.149613	-0.357832	+0.148392	-0.334036	+0.220549
-0.764978	-0.398900	-0.722588	-0.357329	-0.681136	-0.269382	-0.652987	-0.238182	-0.462688	+0.051603	-0.434028	+0.120233	-0.401949	+0.139533	-0.363327	+0.138263	-0.350258	+0.149227	-0.347832	+0.148022	-0.324036	+0.219276
-0.754978	-0.329675	-0.712588	-0.497494	-0.671136	-0.302226	-0.642987	-0.455689	-0.452688	+0.303708	-0.424028	+0.116645	-0.391949	+0.137742	-0.353327	+0.137846	-0.340258	+0.148839	-0.337832	+0.147651	-0.314036	+0.218017
-0.744978	-0.607000	-0.702588	-0.377939	-0.661136	-0.329156	-0.632987	-0.223253	-0.442688	+0.128414	-0.414028	+0.113505	-0.381949	+0.136044	-0.343327	+0.137428	-0.330258	+0.148450	-0.327832	+0.147278	-0.304036	+0.216769
-0.734978	-0.230171	-0.692588	-0.100983	-0.651136	-0.384060	-0.622987	-0.203079	-0.432688	+0.107201	-0.404028	+0.110690	-0.371949	+0.134422	-0.333327	+0.137008	-0.320258	+0.148059	-0.317832	+0.146904	-0.294036	+0.215531
