#omega_15	E_QP(omega)_15#	omega_16	E_QP(omega)_16#	omega_17	E_QP(omega)_17#	omega_18	E_QP(omega)_18#	omega_19	E_QP(omega)_19#	omega_20	E_QP(omega)_20#	omega_21	E_QP(omega)_21#	omega_22	E_QP(omega)_22#	omega_23	E_QP(omega)_23#	omega_24	E_QP(omega)_24#	omega_25	E_QP(omega)_25
-0.895467	-0.543523	-0.844634	-0.364221	-0.816139	-0.087449	-0.816139	-0.087485	-0.727286	-1.816716	-0.727285	-1.816684	-0.467847	+0.137604	-0.467846	+0.137605	-0.402885	+0.142135	-0.370016	+0.167642	-0.370016	+0.167642
-0.885467	-1.220975	-0.834634	-0.389113	-0.806139	-0.756181	-0.806139	-0.756205	-0.717286	+0.148489	-0.717285	+0.148455	-0.457847	+0.134482	-0.457846	+0.134482	-0.392885	+0.141765	-0.360016	+0.167335	-0.360016	+0.167335
-0.875467	-0.192741	-0.824634	-0.394711	-0.796139	-0.273162	-0.796139	-0.273175	-0.707286	-0.064419	-0.707285	-0.064427	-0.447847	+0.131646	-0.447846	+0.131647	-0.382885	+0.141395	-0.350016	+0.167027	-0.350016	+0.167027
-0.865467	-0.340777	-0.814634	-0.410661	-0.786139	-0.478608	-0.786139	-0.478619	-0.697286	-0.138661	-0.697285	-0.138664	-0.437847	+0.129045	-0.437846	+0.129045	-0.372885	+0.141026	-0.340016	+0.166718	-0.340016	+0.166718
-0.855467	-0.403599	-0.804634	-0.421079	-0.776139	+0.586954	-0.776139	+0.586962	-0.687286	-0.178457	-0.687285	-0.178458	-0.427847	+0.126637	-0.427846	+0.126637	-0.362885	+0.140655	-0.330016	+0.166408	-0.330016	+0.166408
-0.845467	-0.392382	-0.794634	-0.431152	-0.766139	-0.176793	-0.766139	-0.176797	-0.677286	-0.207642	-0.677285	-0.207642	-0.417847	+0.124390	-0.417846	+0.124391	-0.352885	+0.140285	-0.320016	+0.166097	-0.320016	+0.166097
-0.835467	-0.428046	-0.784634	-0.442685	-0.756139	-0.270436	-0.756139	-0.270438	-0.667286	-0.247702	-0.667285	-0.247707	-0.407847	+0.122281	-0.407846	+0.122281	-0.342885	+0.139914	-0.310016	+0.165785	-0.310016	+0.165785
-0.825467	-0.425927	-0.774634	-0.462034	-0.746139	-0.329337	-0.746139	-0.329336	-0.657286	-0.199795	-0.657285	-0.199799	-0.397847	+0.120288	-0.397846	+0.120289	-0.332885	+0.139541	-0.300016	+0.165470	-0.300016	+0.165471
-0.815467	-0.433177	-0.764634	-0.371739	-0.736139	-0.296707	-0.736139	-0.296695	-0.647286	-0.227448	-0.647285	-0.227448	-0.387847	+0.118397	-0.387846	+0.118397	-0.322885	+0.139168	-0.290016	+0.165155	-0.290016	+0.165155
-0.805467	-0.445306	-0.754634	-0.429127	-0.726139	-0.319800	-0.726139	-0.319797	-0.637286	-0.239873	-0.637285	-0.239872	-0.377847	+0.116593	-0.377846	+0.116593	-0.312885	+0.138794	-0.280016	+0.164837	-0.280016	+0.164837
