#omega_20	E_QP(omega)_20#	omega_21	E_QP(omega)_21
-0.208504	-0.409978	-0.110381	-0.050513
-0.207504	-0.410236	-0.109381	-0.050682
-0.206504	-0.410493	-0.108381	-0.050853
-0.205504	-0.410750	-0.107381	-0.051024
-0.204504	-0.411005	-0.106381	-0.051196
-0.203504	-0.411261	-0.105381	-0.051369
-0.202504	-0.411515	-0.104381	-0.051543
-0.201504	-0.411769	-0.103381	-0.051718
-0.200504	-0.412022	-0.102381	-0.051894
-0.199504	-0.412274	-0.101381	-0.052071
-0.198504	-0.412526	-0.100381	-0.052249
-0.197504	-0.412777	-0.099381	-0.052428
-0.196504	-0.413028	-0.098381	-0.052609
-0.195504	-0.413278	-0.097381	-0.052790
-0.194504	-0.413527	-0.096381	-0.052973
-0.193504	-0.413776	-0.095381	-0.053156
-0.192504	-0.414024	-0.094381	-0.053341
-0.191504	-0.414272	-0.093381	-0.053527
-0.190504	-0.414519	-0.092381	-0.053715
-0.189504	-0.414766	-0.091381	-0.053903
-0.188504	-0.415012	-0.090381	-0.054093
-0.187504	-0.415257	-0.089381	-0.054284
-0.186504	-0.415502	-0.088381	-0.054477
-0.185504	-0.415747	-0.087381	-0.054671
-0.184504	-0.415990	-0.086381	-0.054866
-0.183504	-0.416234	-0.085381	-0.055063
-0.182504	-0.416477	-0.084381	-0.055262
-0.181504	-0.416719	-0.083381	-0.055461
-0.180504	-0.416961	-0.082381	-0.055663
-0.179504	-0.417203	-0.081381	-0.055866
-0.178504	-0.417444	-0.080381	-0.056071
-0.177504	-0.417685	-0.079381	-0.056277
-0.176504	-0.417925	-0.078381	-0.056485
-0.175504	-0.418165	-0.077381	-0.056695
-0.174504	-0.418404	-0.076381	-0.056907
-0.173504	-0.418643	-0.075381	-0.057120
-0.172504	-0.418882	-0.074381	-0.057335
-0.171504	-0.419120	-0.073381	-0.057553
-0.170504	-0.419358	-0.072381	-0.057772
-0.169504	-0.419596	-0.071381	-0.057994
-0.168504	-0.419833	-0.070381	-0.058217
-0.167504	-0.420070	-0.069381	-0.058443
-0.166504	-0.420306	-0.068381	-0.058671
-0.165504	-0.420542	-0.067381	-0.058902
-0.164504	-0.420778	-0.066381	-0.059134
-0.163504	-0.421014	-0.065381	-0.059370
-0.162504	-0.421249	-0.064381	-0.059608
-0.161504	-0.421484	-0.063381	-0.059848
-0.160504	-0.421719	-0.062381	-0.060091
-0.159504	-0.421953	-0.061381	-0.060337
-0.158504	-0.422187	-0.060381	-0.060586
-0.157504	-0.422421	-0.059381	-0.060838
-0.156504	-0.422655	-0.058381	-0.061093
-0.155504	-0.422888	-0.057381	-0.061352
-0.154504	-0.423122	-0.056381	-0.061614
-0.153504	-0.423355	-0.055381	-0.061879
-0.152504	-0.423588	-0.054381	-0.062148
-0.151504	-0.423820	-0.053381	-0.062421
-0.150504	-0.424053	-0.052381	-0.062697
-0.149504	-0.424285	-0.051381	-0.062978
-0.148504	-0.424517	-0.050381	-0.063264
-0.147504	-0.424749	-0.049381	-0.063554
-0.146504	-0.424981	-0.048381	-0.063848
-0.145504	-0.425213	-0.047381	-0.064148
-0.144504	-0.425445	-0.046381	-0.064453
-0.143504	-0.425677	-0.045381	-0.064764
-0.142504	-0.425908	-0.044381	-0.065081
-0.141504	-0.426140	-0.043381	-0.065405
-0.140504	-0.426371	-0.042381	-0.065735
-0.139504	-0.426602	-0.041381	-0.066074
-0.138504	-0.426834	-0.040381	-0.066420
-0.137504	-0.427065	-0.039381	-0.066776
-0.136504	-0.427297	-0.038381	-0.067143
-0.135504	-0.427528	-0.037381	-0.067522
-0.134504	-0.427759	-0.036381	-0.067915
-0.133504	-0.427991	-0.035381	-0.068326
-0.132504	-0.428222	-0.034381	-0.068760
-0.131504	-0.428454	-0.033381	-0.069227
-0.130504	-0.428686	-0.032381	-0.069740
-0.129504	-0.428918	-0.031381	-0.070328
-0.128504	-0.429150	-0.030381	-0.071017
-0.127504	-0.429382	-0.029381	-0.071448
-0.126504	-0.429614	-0.028381	-0.069990
-0.125504	-0.429846	-0.027381	-0.070080
-0.124504	-0.430079	-0.026381	-0.070830
-0.123504	-0.430312	-0.025381	-0.071514
-0.122504	-0.430545	-0.024381	-0.072140
-0.121504	-0.430779	-0.023381	-0.072741
-0.120504	-0.431012	-0.022381	-0.073334
-0.119504	-0.431246	-0.021381	-0.073931
-0.118504	-0.431481	-0.020381	-0.074538
-0.117504	-0.431715	-0.019381	-0.075161
-0.116504	-0.431951	-0.018381	-0.075805
-0.115504	-0.432186	-0.017381	-0.076474
-0.114504	-0.432422	-0.016381	-0.077171
-0.113504	-0.432659	-0.015381	-0.077900
-0.112504	-0.432896	-0.014381	-0.078667
-0.111504	-0.433133	-0.013381	-0.079475
-0.110504	-0.433371	-0.012381	-0.080331
-0.109504	-0.433610	-0.011381	-0.081241
-0.108504	-0.433849	-0.010381	-0.082213
-0.107504	-0.434089	-0.009381	-0.083257
-0.106504	-0.434330	-0.008381	-0.084382
-0.105504	-0.434571	-0.007381	-0.085602
-0.104504	-0.434814	-0.006381	-0.086934
-0.103504	-0.435057	-0.005381	-0.088398
-0.102504	-0.435301	-0.004381	-0.090020
-0.101504	-0.435546	-0.003381	-0.091832
-0.100504	-0.435792	-0.002381	-0.093878
-0.099504	-0.436039	-0.001381	-0.096213
-0.098504	-0.436287	-0.000381	-0.098914
-0.097504	-0.436536	+0.000619	-0.102087
-0.096504	-0.436786	+0.001619	-0.105882
